run,group,method,split,seed,sweep,best_val_auc,test.acc,test.balanced_acc,test.f1,test.threshold,test.auc,test.sensitivity,test.specificity,test_youden.acc,test_youden.balanced_acc,test_youden.f1,test_youden.threshold,test_youden.auc,test_youden.sensitivity,test_youden.specificity,test_screening.acc,test_screening.balanced_acc,test_screening.f1,test_screening.threshold,test_screening.auc,test_screening.sensitivity,test_screening.specificity,thr.youden,thr.screening,fair.bacc_gap,fair.sensitivity_gap,fair.n_strata,fair.min_stratum_n,fair.max_stratum_n,fair.worst_stratum,fair.worst_stratum_n,fair.worst_stratum_bacc,fair.bacc_gap_n10,fair.n_strata_n10,fair.bacc_gap_n20,fair.n_strata_n20,epochs,best_epoch
method-erm-0-20260715-175910,method,erm,0,42,sweep-20260715-174842,0.9728997289972899,0.7665198237885462,0.7625934605512777,0.6728395061728395,0.5,0.8431425064166946,0.7517241379310344,0.7734627831715211,0.7202643171806168,0.7524048655284008,0.6576819407008087,0.05996473878622055,0.8431425064166946,0.8413793103448276,0.6634304207119741,0.7202643171806168,0.7524048655284008,0.6576819407008087,0.05996473878622055,0.8431425064166946,0.8413793103448276,0.6634304207119741,0.05996473878622055,0.05996473878622055,0.3145397693961305,1.0,6,8,162,dark,8,0.5,0.25501595987232095,5,0.25501595987232095,5,30,14
method-erm-1-s1-20260715-220011,method,erm,1,1,sweep-20260715-213431,0.958688524590164,0.9191489361702128,0.8092948717948718,0.6545454545454545,0.5,0.9382122507122507,0.6666666666666666,0.9519230769230769,0.9191489361702128,0.7931801994301995,0.6415094339622641,0.5594365000724792,0.9382122507122507,0.6296296296296297,0.9567307692307693,0.8340425531914893,0.8740206552706553,0.5617977528089888,0.0006013749516569078,0.9382122507122507,0.9259259259259259,0.8221153846153846,0.5594365000724792,0.0006013749516569078,0.37702702702702706,0.7,4,4,101,light,84,0.6229729729729729,0.37702702702702706,3,0.37702702702702706,3,52,36
method-erm-1-s2-20260715-221058,method,erm,1,2,sweep-20260715-213431,0.9560655737704917,0.8978723404255319,0.8617343304843305,0.6470588235294118,0.5,0.92752849002849,0.8148148148148148,0.9086538461538461,0.8170212765957446,0.8160612535612535,0.5057471264367817,0.060970157384872437,0.92752849002849,0.8148148148148148,0.8173076923076923,0.8170212765957446,0.8160612535612535,0.5057471264367817,0.060970157384872437,0.92752849002849,0.8148148148148148,0.8173076923076923,0.060970157384872437,0.060970157384872437,0.3127705627705628,0.3697478991596639,4,23,82,light,73,0.6872294372294372,0.3127705627705628,4,0.3127705627705628,4,26,10
method-erm-1-20260715-180318,method,erm,1,42,sweep-20260715-174842,0.9685245901639344,0.8297872340425532,0.8393874643874644,0.5348837209302325,0.5,0.9225427350427351,0.8518518518518519,0.8269230769230769,0.8893617021276595,0.8408119658119658,0.6176470588235294,0.9375766515731812,0.9225427350427351,0.7777777777777778,0.9038461538461539,0.8893617021276595,0.8408119658119658,0.6176470588235294,0.9375766515731812,0.9225427350427351,0.7777777777777778,0.9038461538461539,0.9375766515731812,0.9375766515731812,0.5,0.9285714285714286,4,17,89,tan,17,0.5,0.5,4,0.2056277056277056,3,24,8
method-erm-2-s1-20260715-221633,method,erm,2,1,sweep-20260715-213431,0.9761513157894737,0.9436619718309859,0.9285714285714286,0.9230769230769231,0.5,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.00816508661955595,1.0,1.0,1.0,0.8028169014084507,0.8372093023255813,0.8,9.395836968906224e-05,1.0,1.0,0.6744186046511628,0.00816508661955595,9.395836968906224e-05,0.0,0.0,6,1,55,very_light,55,1.0,,1,,1,33,17
method-erm-2-s2-20260715-222521,method,erm,2,2,sweep-20260715-213431,0.9742324561403508,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.5,0.9991694352159468,0.9642857142857143,1.0,0.971830985915493,0.9642857142857143,0.9629629629629629,0.6345400214195251,0.9991694352159468,0.9285714285714286,1.0,0.9295774647887324,0.9418604651162791,0.9180327868852459,0.010712383314967155,0.9991694352159468,1.0,0.8837209302325582,0.6345400214195251,0.010712383314967155,0.5,1.0,6,2,49,light,5,0.5,,1,,1,31,15
method-erm-2-20260715-180826,method,erm,2,42,sweep-20260715-174842,0.993421052631579,0.971830985915493,0.970514950166113,0.9642857142857143,0.5,0.9958471760797342,0.9642857142857143,0.9767441860465116,0.971830985915493,0.9767441860465116,0.9655172413793104,0.08068431168794632,0.9958471760797342,1.0,0.9534883720930233,0.971830985915493,0.9767441860465116,0.9655172413793104,0.08068431168794632,0.9958471760797342,1.0,0.9534883720930233,0.08068431168794632,0.08068431168794632,0.0357142857142857,0.0,6,1,48,very_light,48,0.9642857142857143,,1,,1,41,25
method-erm-indist-s1-20260715-213432,method,erm,indist,1,sweep-20260715-213431,0.9917184265010353,0.9243697478991597,0.9249194847020934,0.847457627118644,0.5,0.9619565217391305,0.9259259259259259,0.9239130434782609,0.9327731092436975,0.9303542673107891,0.8620689655172413,0.6276776790618896,0.9619565217391305,0.9259259259259259,0.9347826086956522,0.9327731092436975,0.9303542673107891,0.8620689655172413,0.6276776790618896,0.9619565217391305,0.9259259259259259,0.9347826086956522,0.6276776790618896,0.6276776790618896,0.30263157894736836,0.5,6,2,39,intermediate,23,0.6973684210526316,0.30263157894736836,5,0.30263157894736836,3,27,11
method-erm-indist-s2-20260715-214123,method,erm,indist,2,sweep-20260715-213431,0.9943064182194616,0.9411764705882353,0.9357890499194848,0.8771929824561403,0.5,0.9786634460547503,0.9259259259259259,0.9456521739130435,0.8907563025210085,0.9162640901771336,0.8,0.0052975257858633995,0.9786634460547503,0.9629629629629629,0.8695652173913043,0.9327731092436975,0.9434380032206119,0.8666666666666667,0.020455731078982353,0.9786634460547503,0.9629629629629629,0.9239130434782609,0.0052975257858633995,0.020455731078982353,0.18434343434343436,0.09090909090909094,5,1,42,very_light,29,0.8156565656565656,0.18434343434343436,4,0.18434343434343436,3,31,15
method-erm-indist-20260715-174843,method,erm,indist,42,sweep-20260715-174842,0.9860248447204969,0.9495798319327731,0.9281400966183575,0.8888888888888888,0.5,0.9653784219001611,0.8888888888888888,0.967391304347826,0.907563025210084,0.914049919484702,0.819672131147541,0.016883889213204384,0.9653784219001611,0.9259259259259259,0.9021739130434783,0.907563025210084,0.914049919484702,0.819672131147541,0.016883889213204384,0.9653784219001611,0.9259259259259259,0.9021739130434783,0.016883889213204384,0.016883889213204384,0.2833333333333333,0.5,6,2,32,intermediate,32,0.7166666666666667,0.2151515151515152,4,0.2151515151515152,4,42,26
